"","species","site","seed_input","block_id","near_far","treat","f","i","r","a","dens","total_germinants","tot_sdlng_surv"
"2","premna","ladt",50,"ladt pr.b4","near","all","1","1","1","1",89.5,3,0
"3","premna","ladt",50,"ladt pr.b4","near","fung","1","0","0","0",89.5,3,0
"4","premna","ladt",50,"ladt pr.b4","near","ins","0","1","0","0",89.5,8,0
"5","premna","ladt",50,"ladt pr.b4","near","rat","0","0","1","0",89.5,7,0
"6","premna","ladt",50,"ladt pr.b4","near","none","0","0","0","0",89.5,2,0
"8","premna","ladt",50,"ladt pr.a4","far","all","1","1","1","1",93.25,6,0
"9","premna","ladt",50,"ladt pr.a4","far","fung","1","0","0","0",93.25,6,0
"10","premna","ladt",50,"ladt pr.a4","far","ins","0","1","0","0",93.25,2,0
"11","premna","ladt",50,"ladt pr.a4","far","rat","0","0","1","0",93.25,4,0
"12","premna","ladt",50,"ladt pr.a4","far","none","0","0","0","0",93.25,2,0
"14","premna","ladt",50,"ladt pr.b3","far","all","1","1","1","1",95,8,0
"15","premna","ladt",50,"ladt pr.b3","far","fung","1","0","0","0",95,2,0
"16","premna","ladt",50,"ladt pr.b3","far","ins","0","1","0","0",95,1,0
"17","premna","ladt",50,"ladt pr.b3","far","rat","0","0","1","0",95,10,0
"18","premna","ladt",50,"ladt pr.b3","far","none","0","0","0","0",95,4,0
"20","premna","ladt",50,"ladt pr.a2","near","all","1","1","1","1",96.25,2,0
"21","premna","ladt",50,"ladt pr.a2","near","fung","1","0","0","0",96.25,4,0
"22","premna","ladt",50,"ladt pr.a2","near","ins","0","1","0","0",96.25,3,0
"23","premna","ladt",50,"ladt pr.a2","near","rat","0","0","1","0",96.25,1,0
"24","premna","ladt",50,"ladt pr.a2","near","none","0","0","0","0",96.25,3,0
"26","premna","ladt",50,"ladt pr.a1","near","all","1","1","1","1",92.75,9,0
"27","premna","ladt",50,"ladt pr.a1","near","fung","1","0","0","0",92.75,1,0
"28","premna","ladt",50,"ladt pr.a1","near","ins","0","1","0","0",92.75,3,0
"29","premna","ladt",50,"ladt pr.a1","near","rat","0","0","1","0",92.75,4,0
"30","premna","ladt",50,"ladt pr.a1","near","none","0","0","0","0",92.75,2,0
"32","premna","ladt",50,"ladt pr.a0","near","all","1","1","1","1",91.5,13,0
"33","premna","ladt",50,"ladt pr.a0","near","fung","1","0","0","0",91.5,2,0
"34","premna","ladt",50,"ladt pr.a0","near","ins","0","1","0","0",91.5,10,0
"35","premna","ladt",50,"ladt pr.a0","near","rat","0","0","1","0",91.5,2,0
"36","premna","ladt",50,"ladt pr.a0","near","none","0","0","0","0",91.5,7,0
"38","premna","ladt",50,"ladt pr.s1","near","all","1","1","1","1",93.75,4,0
"39","premna","ladt",50,"ladt pr.s1","near","fung","1","0","0","0",93.75,0,0
"40","premna","ladt",50,"ladt pr.s1","near","ins","0","1","0","0",93.75,1,0
"41","premna","ladt",50,"ladt pr.s1","near","rat","0","0","1","0",93.75,5,0
"42","premna","ladt",50,"ladt pr.s1","near","none","0","0","0","0",93.75,3,0
"44","premna","ladt",50,"ladt pr.d0","far","all","1","1","1","1",91,3,0
"45","premna","ladt",50,"ladt pr.d0","far","fung","1","0","0","0",91,0,0
"46","premna","ladt",50,"ladt pr.d0","far","ins","0","1","0","0",91,1,0
"47","premna","ladt",50,"ladt pr.d0","far","rat","0","0","1","0",91,0,0
"48","premna","ladt",50,"ladt pr.d0","far","none","0","0","0","0",91,2,0
"50","premna","ladt",50,"ladt pr.s3","near","all","1","1","1","1",92.75,13,0
"51","premna","ladt",50,"ladt pr.s3","near","fung","1","0","0","0",92.75,4,0
"52","premna","ladt",50,"ladt pr.s3","near","ins","0","1","0","0",92.75,8,0
"53","premna","ladt",50,"ladt pr.s3","near","rat","0","0","1","0",92.75,11,0
"54","premna","ladt",50,"ladt pr.s3","near","none","0","0","0","0",92.75,4,0
"56","premna","ladt",50,"ladt pr.d2","far","all","1","1","1","1",91,7,0
"57","premna","ladt",50,"ladt pr.d2","far","fung","1","0","0","0",91,7,0
"58","premna","ladt",50,"ladt pr.d2","far","ins","0","1","0","0",91,5,0
"59","premna","ladt",50,"ladt pr.d2","far","rat","0","0","1","0",91,7,0
"60","premna","ladt",50,"ladt pr.d2","far","none","0","0","0","0",91,2,0
"62","premna","ladt",50,"ladt pr.c2","near","all","1","1","1","1",93.5,4,0
"63","premna","ladt",50,"ladt pr.c2","near","fung","1","0","0","0",93.5,6,0
"64","premna","ladt",50,"ladt pr.c2","near","ins","0","1","0","0",93.5,2,0
"65","premna","ladt",50,"ladt pr.c2","near","rat","0","0","1","0",93.5,4,0
"66","premna","ladt",50,"ladt pr.c2","near","none","0","0","0","0",93.5,3,0
"68","premna","ladt",50,"ladt pr.c4","far","all","1","1","1","1",90.5,2,0
"69","premna","ladt",50,"ladt pr.c4","far","fung","1","0","0","0",90.5,0,0
"70","premna","ladt",50,"ladt pr.c4","far","ins","0","1","0","0",90.5,4,0
"71","premna","ladt",50,"ladt pr.c4","far","rat","0","0","1","0",90.5,2,0
"72","premna","ladt",50,"ladt pr.c4","far","none","0","0","0","0",90.5,5,0
"74","premna","mtr1",50,"mtr1 pr.b0","far","all","1","1","1","1",95.25,3,0
"75","premna","mtr1",50,"mtr1 pr.b0","far","fung","1","0","0","0",95.25,6,0
"76","premna","mtr1",50,"mtr1 pr.b0","far","ins","0","1","0","0",95.25,1,0
"77","premna","mtr1",50,"mtr1 pr.b0","far","rat","0","0","1","0",95.25,5,0
"78","premna","mtr1",50,"mtr1 pr.b0","far","none","0","0","0","0",95.25,2,0
"80","premna","mtr1",50,"mtr1 pr.c0a","near","all","1","1","1","1",92.5,4,0
"81","premna","mtr1",50,"mtr1 pr.c0a","near","fung","1","0","0","0",92.5,1,0
"82","premna","mtr1",50,"mtr1 pr.c0a","near","ins","0","1","0","0",92.5,3,0
"83","premna","mtr1",50,"mtr1 pr.c0a","near","rat","0","0","1","0",92.5,0,0
"84","premna","mtr1",50,"mtr1 pr.c0a","near","none","0","0","0","0",92.5,1,0
"86","premna","mtr1",50,"mtr1 pr.c0b","near","all","1","1","1","1",91.5,4,0
"87","premna","mtr1",50,"mtr1 pr.c0b","near","fung","1","0","0","0",91.5,1,0
"88","premna","mtr1",50,"mtr1 pr.c0b","near","ins","0","1","0","0",91.5,3,0
"89","premna","mtr1",50,"mtr1 pr.c0b","near","rat","0","0","1","0",91.5,1,0
"90","premna","mtr1",50,"mtr1 pr.c0b","near","none","0","0","0","0",91.5,3,0
"92","premna","mtr1",50,"mtr1 pr.d1","near","all","1","1","1","1",97.25,1,0
"93","premna","mtr1",50,"mtr1 pr.d1","near","fung","1","0","0","0",97.25,1,0
"94","premna","mtr1",50,"mtr1 pr.d1","near","ins","0","1","0","0",97.25,1,0
"95","premna","mtr1",50,"mtr1 pr.d1","near","rat","0","0","1","0",97.25,0,0
"96","premna","mtr1",50,"mtr1 pr.d1","near","none","0","0","0","0",97.25,0,0
"98","premna","mtr1",50,"mtr1 pr.d2","far","all","1","1","1","1",95,0,0
"99","premna","mtr1",50,"mtr1 pr.d2","far","fung","1","0","0","0",95,2,0
"100","premna","mtr1",50,"mtr1 pr.d2","far","ins","0","1","0","0",95,3,0
"101","premna","mtr1",50,"mtr1 pr.d2","far","rat","0","0","1","0",95,9,0
"102","premna","mtr1",50,"mtr1 pr.d2","far","none","0","0","0","0",95,8,0
"104","premna","mtr1",50,"mtr1 pr.e2","far","all","1","1","1","1",90.5,6,1
"105","premna","mtr1",50,"mtr1 pr.e2","far","fung","1","0","0","0",90.5,12,0
